LANG_INFO	Japanese
MSG_FILTEDEF_VIEW_TYPE_DEFAULT	パスを表示しない
MSG_FILTEDEF_VIEW_TYPE_PREV	メモ名の前に表示
MSG_FILTEDEF_VIEW_TYPE_POST	メモ名の後に表示
MSG_BMDLG_TITLE_NAME	アイテム名
MSG_BMDLG_TITLE_PATH	パス
MSG_DEL_BOOKMARK	お気に入りの削除
MSG_CONFIRM	選択したお気に入りを削除します。よろしいですか？
MSG_PROPTAB_FOLDER	メモ
MSG_PROPTAB_PASSWORD	パスワード
MSG_PROPTAB_FONT	フォント
MSG_PROPTAB_DATE	日付
MSG_PROPTAB_KEEPCARET	詳細ビュー
MSG_PROPTAB_PASS_TIMEOUT	セキュリティ
MSG_PROPTAB_DEFNOTE	トップページ
MSG_PROPTAB_TITLE	プロパティ
MSG_GREPTAB_MAIN	メイン
MSG_GREPTAB_PERSIST	保存
MSG_PROPTAB_APPBUTTON	アプリボタン
MSG_PROPTAB_SIP	SIP
MSG_PROPTAB_CODEPAGE	エンコーディング
MSG_MENU_NOTE	メモ
MSG_MENU_TOOL	ツール
MSG_MENU_EDIT	編集
MSG_MENUITEM_MAIN_NEWFOLDER	新規フォルダ
MSG_MENUITEM_MAIN_CUT	切り取り
MSG_MENUITEM_MAIN_COPY	コピー
MSG_MENUITEM_MAIN_PASTE	貼り付け
MSG_MENUITEM_MAIN_RENAME	ファイル名の変更
MSG_MENUITEM_MAIN_DELETE	削除
MSG_MENUITEM_MAIN_FIND	検索
MSG_MENUITEM_MAIN_FIND_NEXT	次を検索
MSG_MENUITEM_MAIN_FIND_PREV	前を検索
MSG_MENUITEM_MAIN_QUICKFILTER	クイックフィルタ
MSG_MENUITEM_MAIN_ENCRYPT	暗号化
MSG_MENUITEM_MAIN_DECRYPT	復号化
MSG_MENUITEM_DETAILS_SELALL	全選択
MSG_MENUITEM_TOOL_EXIT	終了
MSG_MENUITEM_TOOL_ABOUT	バージョン情報
MSG_MENUITEM_TOOL_PROPERTY	プロパティ
MSG_MENUITEM_TOOL_VFOLDER_DEF	仮想フォルダ
MSG_MENUITEM_TOOL_FORGETPASS	パスワード消去
MSG_MENUITEM_TOOL_WRAP	折り返して表示
MSG_MENUITEM_W32B_FILE	ファイル(&F)
MSG_MENUITEM_W32_F_NEWMEMO	新規メモ\tCtrl+N
MSG_MENUITEM_W32_F_NEWFOLDER	新規フォルダ
MSG_MENUITEM_W32_F_RENAME	名前の変更(&R)
MSG_MENUITEM_W32_F_DEL	削除(&D)\tDEL
MSG_MENUITEM_W32_F_SAVE	保存(&S)\tCtrl+S
MSG_MENUITEM_W32_F_EXIT	終了(&X)
MSG_MENUITEM_W32B_EDIT	編集(&E)
MSG_MENUITEM_W32_E_CUT	切り取り(&T)\tCtrl+X
MSG_MENUITEM_W32_E_COPY	コピー(&C)\tCtrl+C
MSG_MENUITEM_W32_E_PASTE	貼り付け(&P)\tCtrl+V
MSG_MENUITEM_W32_E_SELALL	全選択(&A)\tCtrl+A
MSG_MENUITEM_W32_E_FIND	検索(&S)\tCtrl+F
MSG_MENUITEM_W32_E_FINDNEXT	次を検索\tF3
MSG_MENUITEM_W32_E_FINDPREV	前を検索\tShift+F3
MSG_MENUITEM_W32_E_QFILTER	クイックフィルタ\tCtrl+G
MSG_MENUITEM_W32_E_DATE1	日付1\tCtrl+1
MSG_MENUITEM_W32_E_DATE2	日付2\tCtrl+2
MSG_MENUITEM_W32B_BOOKMARK	お気に入り(&B)
MSG_MENUITEM_W32_B_ADDBM	お気に入りに追加
MSG_MENUITEM_W32_B_EDITBM	お気に入りの整理
MSG_MENUITEM_W32B_TOOL	ツール(&T)
MSG_MENUITEM_W32_T_WRAPTEXT	折り返し表示(&L)
MSG_MENUITEM_W32_T_TWOPANE	2画面モード(&P)
MSG_MENUITEM_W32_T_STATUSBAR	ステータスバー
MSG_MENUITEM_W32_T_STAYTOPMOST	常に手前に表示
MSG_MENUITEM_W32_T_ENCRYPT	暗号化(&E)\tCtrl+E
MSG_MENUITEM_W32_T_DECRYPT	復号化(&P)\tCtrl+P
MSG_MENUITEM_W32_T_ERASEPASS	パスワード消去
MSG_MENUITEM_W32_T_VIRTUALFOLDER	仮想フォルダ
MSG_MENUITEM_W32_T_OPTIONS	プロパティ(&O)
MSG_MENUITEM_W32B_HELP	ヘルプ(&H)
MSG_MENUITEM_W32_H_ABOUT	バージョン情報(&A)
MSG_MENUITEM_CTX_TRACELINK	リンク元へ移動
MSG_DLG_CMN_OK	OK
MSG_DLG_CMN_CANCEL	ｷｬﾝｾﾙ
MSG_DLG_BMEDIT_TITLE	お気に入りの整理
MSG_DLG_BMEDIT_UP	↑
MSG_DLG_BMEDIT_DOWN	↓
MSG_DLG_BMEDIT_DELETE	削除
MSG_DLG_FILESELECT_TITLE	Select File
MSG_DLG_FILTERCTL_TITLE	仮想フォルダの設定
MSG_DLG_FILTERCTL_UP	↑
MSG_DLG_FILTERCTL_DOWN	↓
MSG_DLG_FILTERCTL_KEEP	保存
MSG_DLG_FILTERCTL_NEW	新規
MSG_DLG_FILTERCTL_RENAME	改名
MSG_DLG_FILTERCTL_DELETE	削除
MSG_DLG_FILTERDEF_ADD_LIMIT_TITLE	アイテム数フィルタ
MSG_DLG_FILTERDEF_ADD_LIMIT_ITEMS	アイテム数:
MSG_DLG_FILTERDEF_ADD_REGEX_TITLE	検索フィルタ
MSG_DLG_FILTERDEF_ADD_REGEX_FINDSTR	検索文字列:
MSG_DLG_FILTERDEF_ADD_REGEX_CASESENSITIVE	大文字小文字を区別
MSG_DLG_FILTERDEF_ADD_REGEX_INCLUDECRYPTED	暗号メモも対象とする
MSG_DLG_FILTERDEF_ADD_REGEX_FORFILENAME	ファイル名に対して検索
MSG_DLG_FILTERDEF_ADD_REGEX_EXCLUDE	マッチしないものを選択
MSG_DLG_FILTERDEF_ADD_SORT_TITLE	ソートフィルタ
MSG_DLG_FILTERDEF_ADD_SORT_METHOD	ソート方法
MSG_DLG_FILTERDEF_ADD_TIMESTAMP_TITLE	タイムスタンプフィルタ
MSG_DLG_FILTERDEF_ADD_TIMESTAMP_BASETIME	日前より
MSG_DLG_FILTERDEF_ADD_TIMESTAMP_NEWER	新しいメモ
MSG_DLG_FILTERDEF_ADD_TIMESTAMP_OLDER	古いメモ
MSG_DLG_FILTERDEF_FILTER_UP	↑
MSG_DLG_FILTERDEF_FILTER_DOWN	↓
MSG_DLG_FILTERDEF_FILTER_DELETE	削除
MSG_DLG_FILTERDEF_FILTER_FIND	検索
MSG_DLG_FILTERDEF_FILTER_NUMBER	件数
MSG_DLG_FILTERDEF_FILTER_TIMESTAMP	日付
MSG_DLG_FILTERDEF_FILTER_SORT	ソート
MSG_DLG_GREPTAB_MAIN_POSLABEL	検索開始位置:
MSG_DLG_GREPTAB_MAIN_STRLABEL	検索文字列:
MSG_DLG_GREPTAB_PERSIST_KEEP	保存する
MSG_DLG_GREPTAB_PERSIST_LABEL	保存名:
MSG_DLG_NEWFOLDER_TITLE	新規フォルダ名
MSG_DLG_PASSWORD_TITLE	パスワード入力
MSG_DLG_PROPTAB_DEFNOTE_LABEL	デフォルトメモ
MSG_DLG_PROPTAB_DEFNOTE_CURRENT	現在のメモを使用
MSG_DLG_PROPTAB_BLANK	空白を使用
MSG_DLG_PROPTAB_FOLDER_LABEL	メモフォルダ:
MSG_DLG_PROPTAB_FOLDER_HELP1	メモを保存するフォルダを設定します。
MSG_DLG_PROPTAB_FOLDER_SYNCTITLE	メモファイル名とタイトルを連動
MSG_DLG_PROPTAB_FOLDER_HELP2	保存時にメモの一行目が変更されていたらファイル名を自動的に変更します。
MSG_DLG_PROPTAB_FOLDER_READONLY	デフォルトを書き込み禁止にする
MSG_DLG_PROPTAB_FONT_TREE_LABEL	一覧:
MSG_DLG_PROPTAB_FONT_USE_DEFAULT	デフォルトフォントを使用
MSG_DLG_PROPTAB_FONT_EDIT_LABEL	詳細:
MSG_DLG_PROPTAB_USE_CLEARTYPE_FONT	クリアタイプフォントを使用(XPのみ)
MSG_DLG_PROPTAB_DATE_INSDATE1	日付1:
MSG_DLG_PROPTAB_DATE_INSDATE2	日付2:
MSG_DLG_PROPTAB_KEEPCARET_KEEPCARET	カーソル位置の保持
MSG_DLG_PROPTAB_KEEPCARET_HELP1	メモ詳細ビューで前回開いた時のカーソルの位置を記憶します。
MSG_DLG_PROPTAB_KEEPCARET_LABEL	タブストップ:
MSG_DLG_PROPTAB_KEEPCARET_HELP2	タブストップを指定します。
MSG_DLG_PROPTAB_KEEPCARET_SYNCTITLE	ウィンドウタイトルをメモと連動
MSG_DLG_PROPTAB_KEEPCARET_HELP3	メモを開いた際にウィンドウタイトルをメモのタイトルと連動させます
MSG_DLG_PROPTAB_PASSTO_LABEL	タイムアウト(分):
MSG_DLG_PROPTAB_PASSTO_HELP	Tomboがパスワードを記憶している時間を指定します(1～60)。
MSG_DLG_SEARCH_TITLE	検索
MSG_DLG_SEARCH_FIND_LABEL	検索文字列:
MSG_DLG_SEARCH_DIRECTION_LABEL	検索方向
MSG_DLG_SEARCH_DIRECTION_UP	上へ
MSG_DLG_SEARCH_DIRECTION_DOWN	下へ
MSG_DLG_PROPTAB_APPBTN_BUTTON1	ボタン1
MSG_DLG_PROPTAB_APPBTN_BUTTON2	ボタン2
MSG_DLG_PROPTAB_APPBTN_BUTTON3	ボタン3
MSG_DLG_PROPTAB_APPBTN_BUTTON4	ボタン4
MSG_DLG_PROPTAB_APPBTN_BUTTON5	ボタン5
MSG_DLG_PROPTAB_APPBTN_HELP	アプリケーションボタンをアクションボタンとして割り当てます。割り当ては再起動後に有効となります。
MSG_DLG_PROPTAB_APPBTN_DISABLE	編集画面ではアクションボタン無効
MSG_DLG_PROPTAB_SIP_SHIFT	SIPの上に余白をとる
MSG_CODEPAGE_DEFAULT	デフォルト(SJIS)
MSG_CODEPAGE_GREEK	ギリシャ語
MSG_MENUITEM_FIND	検索(&S)
MSG_MENUITEM_EXTAPP1	外部ツール1
MSG_MENUITEM_EXPLORER	エクスプローラで開く
MSG_MENUITEM_ASSOCIATION	関連付け実行
MSG_PROPTAB_EXTAPP	外部アプリ
MSG_DLG_EXTAPP_USEASSOC	関連付け実行を使用
MSG_DLG_EXTAPP_LBL_APP1	外部アプリ1
MSG_DLG_EXTAPP_LBL_APP2	外部アプリ2
MSG_DLG_EXTAPP_CAUTION	注意：\r\n外部アプリがバックアップファイルを残す場合、TOMBOはそれを\r\n＊消しません＊。暗号化前にバックアップファイルが存在していないか確認するようにしてください。
MSG_DLG_EXTAPP_CHOOSE_TTL	外部アプリケーションの選択
MSG_DLG_EXTAPP_CHOOSE_EXT	exeファイル(*.exe)\0*.exe\0全て(*.*)\0*.*\0\0
MSG_MENUITEM_BE_T_TWOPANE	2画面モード
MSG_MENUITEM_B_ADDBM	お気に入りに追加
MSG_MENUITEM_B_EDITBM	お気に入りの整理
MSG_DLG_PROPTAB_USE_CLEARTYPE_FONT_CE	クリアタイプフォントを使用
MSG_DLG_PROPTAB_DISABLESAVEDLG	保存ダイアログを表示しない
MSG_MENUITEM_W32_T_REBAR	ツールバー
MSG_DLG_SAVEPROP_FAILED	プロパティの保存に失敗しました。変更した設定が反映されない可能性があります。
MSG_DLG_PROPTAB_TIMEOUT_USE_SAFENAME	暗号化時にファイル名をランダムにする
MSG_DLG_PROPTAB_TIMEOUT_USE_SAFENAME_HELP	暗号化時にファイル名をランダムに決定します。\r\nより安全になる反面、ファイルの整理がしにくくなります。
MSG_DECRYPT_IS_PARTIAL	一部ファイルはパスワード不一致のためタイトルが取得できませんでした。????????で表示します。
MSG_REGERASE_TITLE	TOMBOレジストリ削除ツール
MSG_REGERASE_CONFIRM	以前のバージョンのTOMBOが使用していたレジストリを削除します。よろしいですか？
MSG_REGERASE_CANCELED	削除はキャンセルされました。
MSG_REGERASE_DELETED	削除されました。
MSG_REGERASE_NOT_EXIST	エントリは既に削除されていました。
MSG_REGERASE_ERROR	削除に失敗しました(%d)。
MSG_DLG_PROPTAB_DEFNOTE_LAST_USE	ツリー位置を保存
MSG_DLG_PROPTAB_CODEPAGE_LABEL	ファイルのエンコーディング
MSG_CODEPAGE_UTF16	Unicode(UTF16LE)
MSG_CODEPAGE_UTF8	UTF-8
MSG_DLG_PROPTAB_CODEPAGE_NOTICE	ファイルの文字コードを設定します。\r\n自動変換・自動判別は行われないため、既にメモをお持ちの方は変更しないでください。
